"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"Jared Sullinger","2012","45","19.8","6","5","49.3","0.1","20","1.4","74.6","2","3.8","0.8","0.5","3.4","1"
"Fab Melo","2012","6","6","1.2","1","50","0","0","0.7","25","0","0.5","0","0.3","1.2","0"
"John Jenkins","2012","61","14.8","6.1","4.8","44.6","2.3","38.4","1.1","84.3","0.3","1.3","0.9","0.2","0.6","1"
"Jared Cunningham","2012","8","3.2","2","1.8","42.9","0.4","66.7","0.3","100","0.1","0.3","0.1","0","0.4","0"
"Tony Wroten","2012","35","7.8","2.6","2.5","38.4","0.5","25","0.8","72.4","0.4","0.4","1.2","0.1","1","0"
"Miles Plumlee","2012","14","3.9","0.9","1.5","23.8","0","0","0.3","75","0.9","0.7","0.1","0.2","0.4","1"
"Perry Jones III","2012","38","7.4","2.3","2.6","39.4","0.1","0","0.4","66.7","0.3","1.3","0.3","0.2","0.6","0"
"Marquis Teague","2012","48","8.2","2.1","2.4","38.1","0.5","17.4","0.3","56.3","0.1","0.9","1.3","0.1","1","0"
"Justin Harper","2011","14","6","1.4","2.2","29","0.9","15.4","0.1","0","0.2","0.6","0.1","0.2","0.4","0"
"Shelvin Mack","2011","64","12.2","3.6","3.4","40","0.7","28.6","0.9","71.2","0.2","1.3","2","0","0.8","1"
"Tyler Honeycutt","2011","15","5.9","1.3","1.6","33.3","0.2","33.3","0.3","60","0.2","0.7","0.5","0.2","0.2","0"
"Trey Thompkins","2011","24","5","2.4","2.5","39.3","0.5","30.8","0.3","71.4","0.2","0.8","0.1","0.1","0.4","0"
"Chandler Parsons","2011","63","28.6","9.5","8.7","45.2","2.8","33.7","1.2","55.1","1.4","3.3","2.1","0.5","2.3","1"
"Jeremy Tyler","2011","42","13.5","4.9","5","42.1","0","0","1.2","55.8","1.3","2","0.4","0.5","2","0"
"Jon Leuer","2011","46","12.1","4.7","4.2","50.8","0.2","33.3","0.6","75","1","1.6","0.5","0.4","1.5","1"
"Darius Morris","2011","19","8.9","2.4","2.2","42.9","0.5","44.4","0.5","66.7","0.1","0.7","1.1","0","0.8","0"
"Malcolm Lee","2011","19","12.8","3.3","3.1","39","0.5","20","0.9","82.4","0.5","0.9","1.6","0.2","1.2","0"
"Travis Leslie","2011","10","4.5","1.4","1.4","35.7","0","0","0.9","44.4","0.6","0.3","0.5","0.2","0.4","0"
"Keith Benson","2011","3","3","0","0.3","0","0","0","0","0","0.7","0.3","0","0","0","0"
"Josh Selby","2011","28","8.5","2.3","2.6","34.7","0.5","13.3","0.5","78.6","0.1","0.5","1.1","0","0.6","0"
"Lavoy Allen","2011","41","15.2","4.1","4.1","47.3","0","0","0.3","78.6","1.1","3","0.8","0.4","1.8","1"
"Vernon Macklin","2011","23","5.9","2","1.5","54.3","0","0","0.6","57.1","0.6","0.9","0.2","0.2","0.4","0"
"E'Twaun Moore","2011","38","8.7","2.9","3","38.1","1.2","37.8","0.2","100","0.1","0.8","0.9","0.1","0.9","1"
"Isaiah Thomas","2011","65","25.5","11.5","8.8","44.8","3.4","37.9","2.8","83.2","0.7","1.8","4.1","0.1","1.9","1"
"Kyrie Irving","2011","51","30.5","18.5","14.6","46.9","3.6","39.9","3.8","87.2","0.9","2.9","5.4","0.4","2.2","1"
"Derrick Williams","2011","66","21.5","8.8","7.5","41.2","2.1","26.8","3","69.7","1.2","3.5","0.6","0.5","1.4","1"
